fid,observationid,categoryid,notes,confidence,userid,created_date,updated_date,huc8,hand,distance,twi,slope
129,129,1,,,,,,18030002,0.473400563,9.950611115,8.571568489,1.535697579
130,130,5,,,,,,18030002,3.158977985,71.75487518,-1,1.004983425
131,131,5,,,,,,18030002,3.324771404,39.80244446,8.122281075,1.953112841
132,132,4,,,,,,18030002,1.540237665,50.73835754,-1,0.737659037
133,133,5,,,,,,18030002,4.712375164,39.80244446,-1,0.94916296
134,134,1,,,,,,18030002,0,0,-1,1.034343481
135,135,8,,,,,,18030002,0.957261205,19.90122223,8.205407143,2.2722857
136,136,8,,,,,,18030002,0.993086159,28.14457512,8.516635895,2.061461926
137,137,10,,,,,,18030002,8.086863518,91.74009705,6.270059109,6.887878895
138,138,10,,,,,,18030002,27.68303299,133.8717804,5.481509209,20.05667877
139,139,1,,,,,,18030002,0,0,7.750504971,1.467274547
140,140,5,,,,,,18030002,0,0,6.904146194,1.104593158
141,141,8,,,,,,18030002,2.743340492,79.60488892,10.04339981,2.876312971
142,142,10,,,,,,18030002,8.160903931,98.00215149,6.000602722,12.87057495
143,143,1,,,,,,18030002,0.744293809,9.950611115,7.271258354,4.408913136
144,144,2,,,,,,18030002,0.650482297,9.950611115,-1,2.991361856
145,145,1,,,,,,18030002,0.523066521,9.950611115,7.767333984,2.717615366
146,146,2,,,,,,18030002,0.958216488,9.950611115,8.156882286,2.19889617
147,147,3,,,,,,18030002,1.658237338,22.25024223,7.769773483,1.403618455
148,148,4,,,,,,18030002,1.939488053,31.4665947,7.652823925,1.947773457
149,149,2,,,,,,18030002,0,0,-1,1.463979602
150,150,3,,,,,,18030002,0.542251408,9.950611115,-1,1.635326624
151,151,1,,,,,,18030002,0,0,-1,1.842349887
152,152,2,,,,,,18030002,0.273137629,9.950611115,8.411036491,2.042806625
153,153,5,,,,,,18030002,2.609479666,41.02742004,6.929235458,3.942563772
154,154,5,,,,,,18030002,4.36052084,62.93318939,6.869485378,3.49048233
155,155,2,,,,,,18030002,0.938395262,9.950611115,6.587979317,5.751536846
156,156,2,,,,,,18030002,0,0,6.650525093,8.832637787
157,157,1,,,,,,18030002,0,0,13.92737103,1.861935496
158,158,2,,,,,,18030002,0,0,8.399724007,3.333176136
159,159,8,,,,,,18030002,2.70319438,31.4665947,7.503572464,4.507918835
160,160,8,,,,,,18030002,3.612546206,53.58568192,7.637878418,2.603122473
161,161,8,,,,,,18030002,2.510832071,44.50048447,7.900324821,3.39817977
162,162,2,,,,,,18030002,0,0,11.68866062,4.200574875
163,163,2,,,,,,18030002,0,0,12.60764694,1.196545243
164,164,1,,,,,,18030002,0,0,-1,4.001790524
165,165,3,,,,,,18030002,0,0,14.5444231,2.434979916
166,166,1,,,,,,18030002,0,0,-1,1.814163089
167,167,3,,,,,,18030002,0,0,-1,1.723880053
168,168,2,,,,,,18030002,2.845059872,49.75305557,8.316643715,2.032814026
169,169,4,,,,,,18030002,1.677997708,9.950611115,10.78678989,1.781607389
170,170,4,,,,,,18030002,0.858624697,9.950611115,-1,1.728955746
171,171,1,,,,,,18030002,0,0,-1,1.290571213
172,172,2,,,,,,18030002,0,0,7.10597229,1.545243144
173,173,5,,,,,,18030002,3.143915415,35.87743759,6.26761055,1.337265849
174,174,5,,,,,,18030002,1.185566068,9.950611115,7.779225349,1.88396883
175,175,2,,,,,,18030002,0,0,-1,0.988419592
176,176,4,,,,,,18030002,4.870433331,72.44154358,7.678261757,2.836148739
177,177,1,,,,,,18030002,0,0,7.699394226,7.176546097
178,178,1,,,,,,18030002,1.643399715,14.07228756,7.770328045,5.810604095
179,179,2,,,,,,18030002,0,0,-1,4.292163849
180,180,1,,,,,,18030002,0,0,7.347549915,2.745662212
181,181,2,,,,,,18030002,0.489022493,9.950611115,7.228143215,2.940442085
182,182,10,,,,,,18030002,16.22381401,93.87387085,7.055096626,11.01922035
183,183,10,,,,,,18030002,10.60108948,102.4478149,5.827728271,11.36036682
184,184,10,,,,,,18030002,33.17926025,188.7995605,5.035164356,12.47052288
185,185,10,,,,,,18030002,33.33894348,164.1096802,4.859143257,9.516152382
186,186,1,,,,,,18030002,0,0,9.249412537,2.115970373
187,187,1,,,,,,18030002,0,0,7.716430664,3.924925327
188,188,2,,,,,,18030002,0.126220703,9.950611115,-1,0.852089763
189,189,2,,,,,,18030002,0,0,8.061049461,6.567987442
190,190,5,,,,,,18030002,1.077195287,14.07228756,9.828920364,2.238399506
191,191,5,,,,,,18030002,0.585566998,14.07228756,8.02549839,2.093847036
192,192,3,,,,,,18030002,2.006070137,22.25024223,6.875280857,4.605123997
193,193,1,,,,,,18030002,1.015895128,19.90122223,9.814469337,3.507949352
194,194,2,,,,,,18030002,1.114756942,22.25024223,9.578431129,3.171319008
195,195,3,,,,,,18030002,0,0,-1,1.17032671
196,196,5,,,,,,18030002,2.193992376,14.07228756,5.987354755,6.73208189
197,197,6,,,,,,18030002,3.22246027,19.90122223,6.395808697,8.958884239
198,198,6,,,,,,18030002,5.210552216,60.52720261,8.250619888,5.408874035
199,199,6,,,,,,18030002,3.959774494,70.36144257,8.797531128,2.405295372
200,200,8,,,,,,18030002,6.629174232,89.55549622,8.735519409,4.244730949
201,201,10,,,,,,18030002,15.60311604,139.308548,7.528142452,14.02062988
202,202,8,,,,,,18030002,16.4313736,267.0028992,7.679068565,1.206465364
203,203,8,,,,,,18030002,22.6852417,276.6556396,7.80496788,4.26941824
204,204,8,,,,,,18030002,18.22283745,142.4710693,9.382836342,1.592000961
205,205,8,,,,,,18030002,13.28009415,285.1158142,8.374873161,0.743717909
206,206,10,,,,,,18030002,35.84430313,482.6815796,6.740212917,6.776454449
207,207,10,,,,,,18030002,26.4257164,161.9842072,4.303581238,9.596420288
208,208,1,,,,,,18030002,0,0,-1,0.825026393
209,209,1,,,,,,18030002,0,0,9.817847252,1.261315346
210,210,1,,,,,,16010202,0,0,-1,2.161752462
211,211,1,,,,,,16010202,0,0,6.764797688,1.338291049
212,212,8,,,,,,16010202,28.98059273,108.5747375,2.865808249,9.589624405
213,213,3,,,,,,16010202,0,0,4.202519417,2.868813038
214,214,3,,,,,,16010202,0.446777374,9.522634506,7.220283508,4.890770912
215,215,1,,,,,,16010202,0.337890625,9.522634506,-1,7.379984856
216,216,1,,,,,,16010202,0,0,-1,1.781349063
217,217,2,,,,,,16010202,0.075317383,60.22642899,-1,2.530361652
218,218,1,,,,,,16010202,0,0,-1,1.067560196
219,219,2,,,,,,16010202,0.597778559,85.70371246,-1,1.221130729
220,220,5,,,,,,16010202,1.033569455,38.09053802,5.238622189,1.056456447
221,221,5,,,,,,16010202,0.880737484,105.1809311,6.905972004,0.329721332
222,222,10,,,,,,16010202,8.862548828,196.0830536,5.856818676,0.504996479
223,223,1,,,,,,16010202,0,0,-1,15.44784355
224,224,10,,,,,,16010202,20.74793816,47.61317444,4.606563091,23.71311188
225,225,1,,,,,,17010205,0,0,-1,2.002639532
226,226,2,,,,,,17010205,0,9.190164566,-1,1.598095417
227,227,3,,,,,,17010205,0.168579102,45.95082474,11.25962543,2.944289207
228,228,1,,,,,,17010205,0,0,-1,0.086045854
229,229,4,,,,,,17010205,0,33.13561249,-1,1.711930037
230,230,10,,,,,,17010205,2.491210938,117.6915436,7.301949024,2.943214417
231,231,4,,,,,,17010205,0,139.980423,-1,1.723199129
232,232,10,,,,,,17010205,24.10375977,61.64949799,4.901727676,17.84111023
233,233,1,,,,,,17010205,0,0,-1,0.505850613
234,234,1,,,,,,17010205,0.54303509,9.190164566,-1,1.435808301
235,235,10,,,,,,17010205,35.56006241,235.5624084,4.772242546,18.78979111
236,236,2,,,,,,17010205,0,53.58740616,-1,1.842065215
237,237,2,,,,,,17010205,1.285710812,25.99371147,6.449636459,3.787263155
238,238,2,,,,,,17010205,0,0,-1,2.005073309
239,239,1,,,,,,17010205,0,0,-1,3.187494278
240,240,1,,,,,,17010205,0,0,7.310414314,2.153265476
241,241,2,,,,,,17010205,0.543034971,20.5498333,-1,3.364728212
242,242,1,,,,,,17010205,0,0,-1,6.909973145
243,243,3,,,,,,17010205,0,9.190164566,-1,3.176101446
244,244,10,,,,,,17010205,1.421508789,27.5704937,6.312438488,9.806193352
245,245,1,,,,,,17010205,0,0,-1,0.4459773
246,246,3,,,,,,17010205,0,9.190164566,-1,6.856211185
247,247,10,,,,,,17010205,5.5703125,18.38032913,5.575884819,24.42635155
248,248,2,,,,,,17010205,0,0,-1,1.128050327
249,249,1,,,,,,17010205,0,0,-1,4.615991592
250,250,1,,,,,,17010205,0,0,10.28239822,2.934666634
251,251,2,,,,,,17010205,0,51.98742294,-1,3.33934021
252,252,3,,,,,,17010205,0,58.84577179,-1,1.909205675
253,253,1,,,,,,17010205,0,12.99685574,-1,6.242983341
254,254,10,,,,,,17010205,27.49421501,58.12370682,5.686378479,31.35045052
255,255,1,,,,,,17010205,0,0,6.823130131,5.375327587
256,256,10,,,,,,17010205,0,0,-1,1.636329055
257,257,10,,,,,,17010205,8.258178711,20.5498333,4.784745216,26.65543175
258,258,1,,,,,,17010205,2.843404293,18.38032913,6.221112251,9.586297989
259,259,1,,,,,,17010205,0,0,-1,3.583670139
260,260,2,,,,,,17010205,0,0,-1,0.196417734
261,261,2,,,,,,17010205,0.466430426,9.190164566,7.736336231,5.105225563
262,262,2,,,,,,17010205,1.893877506,20.5498333,6.429263115,4.460366726
263,263,3,,,,,,17010205,2.043945313,38.99056625,8.991382599,2.531438351
264,264,6,,,,,,17010205,6.076920509,91.90164948,6.676646233,6.660320282
265,265,6,,,,,,17010205,7.722359657,91.90164948,5.911313534,4.878266811
266,266,1,,,,,,17010205,0.621948242,20.5498333,-1,0.467198253
267,267,3,,,,,,17010205,0.317601681,27.5704937,13.93434334,0.471238494
268,268,1,,,,,,17010205,0,0,-1,1.848239303
269,269,1,,,,,,17010205,0,0,10.1288662,3.771488905
270,270,2,,,,,,17010205,0.679966569,18.38032913,9.947985649,0.475866199
271,271,1,,,,,,17010205,1.970242381,20.5498333,5.723786354,4.203014374
272,272,1,,,,,,17010205,7.227677822,12.99685574,4.894074917,21.55412483
273,273,1,,,,,,17010205,0,0,5.398687363,21.200634
274,274,2,,,,,,17010205,0,0,7.363471031,6.682199001
275,275,2,,,,,,17010205,4.265280247,20.5498333,5.685382366,11.34845257
276,276,10,,,,,,17010205,33.82995987,58.84577179,4.377867699,32.5953598
277,277,3,,,,,,17010205,5.694441795,41.0996666,6.362045765,4.493238449
278,278,2,,,,,,17010205,2.85158515,20.5498333,8.595221519,1.245159984
279,279,1,,,,,,17010205,0,0,-1,1.788825631
280,280,10,,,,,,17010205,17.52160454,64.33115387,4.09913969,25.74903297
281,281,2,,,,,,17010205,0.355343074,9.190164566,7.469738007,2.732925177
282,282,3,,,,,,17010205,3.126271248,36.76065826,6.630448818,6.357451439
283,283,1,,,,,,17010205,4.16249752,74.09348297,8.443437576,3.321070671
284,284,2,,,,,,17010205,3.969248295,73.52131653,9.234952927,3.433516502
285,285,2,,,,,,17010205,7.00756979,110.2819748,9.266605377,4.441802025
286,286,3,,,,,,17010205,0.983406782,9.190164566,11.23748589,5.062165737
287,287,6,,,,,,17010205,5.207986832,9.190164566,6.853687763,7.041200161
288,288,6,,,,,,17010205,8.61634922,128.0041962,9.810797691,4.019826889
289,289,1,,,,,,17010205,0,0,7.977364063,1.03177309
290,290,2,,,,,,17010205,1.061642051,45.95082474,8.140540123,1.476165295
291,291,2,,,,,,17010205,1.183441043,49.49055481,9.299911499,1.345381618
292,292,3,,,,,,17010205,6.37872839,164.3986664,7.446573734,1.590067744
293,293,4,,,,,,17010205,9.912005424,271.3823242,7.32872963,4.037798882
294,294,5,,,,,,17010205,15.67680073,388.7124634,8.381140709,2.940263748
295,295,10,,,,,,17010205,28.44555283,305.4952393,7.41977644,6.764255524
296,296,6,,,,,,17010205,8.969959259,191.2349396,8.830541611,2.787602663
297,297,6,,,,,,17010205,13.64236069,97.69280243,8.240022659,2.346461296
298,298,10,,,,,,17010205,0,0,13.21978092,8.567373276
299,299,10,,,,,,17010205,10.32565403,18.38032913,6.225124359,24.65301514
300,300,1,,,,,,17010205,0,0,8.742935181,9.280343056
301,301,2,,,,,,17010205,0.376871556,9.190164566,8.570540428,1.903037667
302,302,2,,,,,,17010205,1.949083567,9.190164566,7.033900261,12.99293041
303,303,1,,,,,,17010205,0,0,-1,3.222171068
304,304,3,,,,,,17010205,0.842734814,27.5704937,8.782682419,1.516389966
305,305,10,,,,,,17010205,14.88737869,45.95082474,6.566913605,19.32671165
306,306,2,,,,,,17010205,3.994411469,9.190164566,6.335756302,23.0358963
307,307,10,,,,,,17010205,18.8638916,36.76065826,6.033274174,26.37247086
308,308,2,,,,,,17010205,0.305148631,9.190164566,9.178549767,1.728249192
309,309,1,,,,,,17010205,0,0,8.876271248,7.262684822
310,310,4,,,,,,17010205,2.060952902,55.90159225,8.415797234,1.808229685
311,311,10,,,,,,17010205,23.11745453,99.40683746,4.016339302,34.16633224
312,312,1,,,,,,17010205,0,0,9.356483459,2.106577635
313,313,2,,,,,,17010205,0.351785302,9.190164566,8.626750946,1.280145168
314,314,1,,,,,,17010205,2.57155776,37.89201736,6.544006348,3.942069054
315,315,10,,,,,,17010205,17.31129265,75.78403473,6.663698196,22.98436165
316,316,2,,,,,,17010205,0.192674607,9.190164566,6.845736027,0.910531878
317,317,1,,,,,,17010205,1.653434873,9.190164566,9.296570778,8.080014229
318,318,1,,,,,,17010205,3.853259802,46.8608284,7.390974045,4.604820728
319,319,1,,,,,,17010205,0,0,-1,1.073391676
320,320,2,,,,,,17010205,2.170507193,45.95082474,7.895949364,3.363206387
321,321,2,,,,,,17010205,0.307764113,9.190164566,7.174095631,1.039782405
322,322,2,,,,,,17010205,0,0,8.092763901,0.585999131
323,323,10,,,,,,17010205,14.73418045,84.72913361,6.239790916,19.74694633
324,324,10,,,,,,17010205,23.28693199,33.13561249,4.687555313,34.93916702
325,325,1,,,,,,17010205,0,0,-1,0.592591226
326,326,2,,,,,,17010205,0.979975522,12.99685574,7.321302414,5.277826309
327,327,2,,,,,,17010205,0,0,7.672539711,0.803570092
328,328,1,,,,,,17010205,0.231843039,9.190164566,9.8273983,1.888479352
329,329,2,,,,,,17010205,2.753246784,49.49055481,8.80795002,2.201322317
330,330,3,,,,,,17010205,3.913710594,124.9997559,8.271661758,2.141822577
331,331,6,,,,,,17010205,12.38628864,205.4983368,6.428729057,15.36232758
332,332,2,,,,,,17010205,0.231886402,9.190164566,7.768815517,1.24362278
333,333,1,,,,,,17010205,0.381088316,18.38032913,-1,0.366196275
334,334,3,,,,,,17010205,2.304455757,64.33115387,7.181908607,2.307193756
335,335,6,,,,,,17010205,8.733971596,99.40683746,6.173826218,31.70013618
336,336,10,,,,,,17010205,39.53735352,181.2583923,6.150010109,26.18707657
337,337,1,,,,,,17010205,0,0,7.670111656,1.447312593
338,338,10,,,,,,17010205,77.77158356,136.6216278,6.071161747,12.73991108
339,339,1,,,,,,17010205,0.772521973,244.7070313,7.782504082,0.213381365
340,340,1,,,,,,17010205,0,0,5.79485321,0.686513484
341,341,1,,,,,,17010205,0,9.190164566,-1,0
342,342,1,,,,,,17010205,0.09069825,55.90159225,-1,0
343,343,1,,,,,,17010205,0,0,9.451094627,0.878359914
344,344,1,,,,,,17010205,0.090698242,77.98113251,-1,0
345,345,1,,,,,,17010205,0,0,-1,4.857056618
346,346,10,,,,,,17010205,49.55727386,107.1748123,7.571602821,4.677820206
347,347,10,,,,,,17010205,35.12017822,127.673851,7.558401108,7.696588516
348,348,1,,,,,,17010205,0.572814941,205.4983368,7.941016197,2.080789804
349,349,2,,,,,,17010205,0,0,8.492547035,1.564210773
350,350,1,,,,,,17010205,0,0,-1,0
351,351,10,,,,,,17010205,18.87506104,82.19933319,4.18670702,23.79830551
352,352,2,,,,,,17010205,0.058776874,93.7216568,-1,0
353,353,2,,,,,,17010205,0.034301788,25.99371147,-1,0
354,354,1,,,,,,17010204,0,0,10.35736561,0.346306056
355,355,1,,,,,,17010204,0,0,5.32346344,1.352513552
356,356,1,,,,,,17010204,0,0,10.49438763,0.609191775
357,357,1,,,,,,17010204,0,7.558362484,-1,0
358,358,1,,,,,,17010204,0,15.11672497,-1,0
359,359,1,,,,,,17010204,0.066785716,47.80327988,10.73107433,0.066061974
360,360,1,,,,,,17010204,0,0,9.199259758,0.049554199
361,361,1,,,,,,17010204,0,16.90101242,-1,0.05107554
362,362,2,,,,,,17010204,0,10.68913746,-1,0
363,363,2,,,,,,17010204,0,0,10.8268013,0.161435843
364,364,2,,,,,,17010204,0.142682061,7.558362484,8.481098175,0.807861209
365,365,10,,,,,,17010204,31.54613495,84.50506592,6.765079975,12.39753532
366,366,10,,,,,,17010204,34.37641144,75.58362579,-1,5.783576488
367,367,1,,,,,,17010204,0,0,5.433615685,4.145411491
368,368,10,,,,,,17010205,20.02325249,55.1409874,6.667818069,13.03263283
369,369,10,,,,,,17010205,9.482039452,36.76065826,5.189804554,17.87899971
370,370,1,,,,,,17010205,4.377783775,18.38032913,6.373094082,24.0482502
371,371,1,,,,,,17010205,0,0,6.762866497,12.63577557
372,372,3,,,,,,17010205,10.14815712,45.95082474,7.771011829,3.694690943
373,373,1,,,,,,17010205,0,0,9.420602798,1.160958171
374,374,3,,,,,,17010205,1.168487906,18.38032913,7.297900677,4.22063446
375,375,10,,,,,,17010205,0.876177132,18.38032913,8.179162979,4.950012207
376,376,1,,,,,,16010202,0,0,-1,0.152487069
377,377,1,,,,,,16010202,0,0,-1,0.046762221
378,378,3,,,,,,16010202,1.669433832,47.61317444,7.756970882,0.25816974
379,379,2,,,,,,16010202,0.648071408,9.522634506,7.455152512,0.663346648
380,380,10,,,,,,16010202,56.07495499,333.2922058,3.472548485,6.982321262
381,381,10,,,,,,16010202,88.60266113,152.3621521,2.420068979,19.71672058
382,382,5,,,,,,16010202,6.401980877,157.627655,7.334842205,0.948412657
383,383,10,,,,,,16010202,54.6264534,140.6000061,7.837308407,0.030974658
384,384,1,,,,,,16010202,0,0,9.785250664,0.594228208
385,385,1,,,,,,16010202,21.23086929,28.56790352,-1,0.656079352
386,386,1,,,,,,16010202,19.09352493,9.522634506,-1,8.030003548
387,387,2,,,,,,16010202,20.89053726,9.522634506,-1,0.628029048
388,388,1,,,,,,16010202,0,0,10.65876293,8.065190315
389,389,1,,,,,,16010202,23.35951614,19.04526901,7.822694778,5.461284637
390,390,1,,,,,,16010202,0,0,6.102060795,6.218875408
391,391,10,,,,,,16010202,20.69123077,57.13580704,6.692760944,11.72666836
392,392,1,,,,,,16010202,0.99987793,9.522634506,10.83775139,5.382296085
