observationid,HUC8,categoryid,confidence,userid,notes,created_date,updated_date,category_name,StreamOrder,DrainageAreaSqkm,InputZone,HAND,ChannelDist,TWI,Slope
31,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1583.111399,Large,0,59.70160675,-1,0
32,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1598.215199,Large,0,124.5970688,9.697094917,0.509436786
33,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1600.324699,Large,0,107.5365753,-1,0.400900751
34,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1600.324699,Large,0,214.3353271,9.587863922,0.85504353
35,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1600.324699,Large,21.79739189,748.4295044,7.021673679,2.772525787
36,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1600.324699,Large,25.00503159,402.9551086,7.411267757,1.924233913
37,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1600.324699,Large,37.73090363,350.611084,3.807760954,3.364065409
38,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1717.475099,Large,0,0,12.63215256,0.444308192
39,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1717.475099,Large,0,0,8.570578575,0.657694638
40,10090102,4,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Active Floodplain,5,1717.475099,Large,0,0,9.162278175,1.242254734
41,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1717.475099,Large,0,108.635788,9.122760773,0.17345804
42,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1717.475099,Large,0,44.49895096,13.52916908,0.395156473
43,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1717.475099,Large,0,0,8.349515915,0.065789133
44,10090102,4,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Active Floodplain,5,1717.475099,Large,0,0,9.973197937,1.273924708
45,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1717.475099,Large,12.64641666,71.19831848,6.075699806,6.564245224
46,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1717.475099,Large,0,0,6.603044033,7.73425436
47,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,7,13126.0013,Large,0,0,15.60710812,0.001400049
48,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,7,13103.8043,Large,0,0,12.97791767,0.032074209
49,10090102,2,,1,,6/17/2021 21:45,6/17/2021 21:45,Highly Likely Active Floodplain,7,13126.0013,Large,0,25.17240906,7.59112215,0.362415493
50,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,7,13126.0013,Large,0,0,9.169974327,0.367084235
51,10090102,4,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Active Floodplain,7,13126.0013,Large,0,157.4533691,10.69525719,0.083843514
52,10090102,4,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Active Floodplain,7,13126.0013,Large,0,232.078125,12.40913773,0.349521458
53,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,7,13126.0013,Large,0,308.9393921,10.45135403,0.446037799
54,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,4,114.4785001,Large,0,0,-1,3.811459064
55,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,4,81.1198999,Large,0,0,13.07003021,4.018420696
56,10090102,3,,1,,6/17/2021 21:45,6/17/2021 21:45,Likely Active Floodplain,4,81.1198999,Large,0,17.79957962,-1,0.352079213
57,10090102,4,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Active Floodplain,5,1724.467399,Large,0,99.50267792,10.23673916,0.354639262
58,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1724.467399,Large,0,191.0866089,9.416492462,0.196402177
59,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1724.467399,Large,0,127.4256058,9.216291428,0.080851488
60,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1724.467399,Large,0,176.2068634,10.37776661,0.272102118
61,18090103,2,,1,,6/17/2021 21:55,6/17/2021 21:55,Highly Likely Active Floodplain,2,0.85469999,Large,0,19.06372643,-1,0.691114426
62,18090103,2,,1,,6/17/2021 21:55,6/17/2021 21:55,Highly Likely Active Floodplain,2,0.81799997,Large,0,9.531863213,-1,6.173361301
63,18090103,2,,1,,6/17/2021 21:55,6/17/2021 21:55,Highly Likely Active Floodplain,2,0.75819999,Large,0,19.06372643,-1,6.200721741
64,18090103,5,,1,,6/17/2021 21:55,6/17/2021 21:55,Possible Inactive Floodplain,2,0.71849998,Large,0,9.531863213,-1,2.707318544
65,18090103,5,,1,,6/17/2021 21:55,6/17/2021 21:55,Possible Inactive Floodplain,2,0.71849998,Large,0,13.48009014,-1,1.850064158
67,18090103,2,,1,,6/17/2021 21:55,6/17/2021 21:55,Highly Likely Active Floodplain,1,0.3262,Large,0,0,7.220736504,0
68,18090103,1,,1,,6/17/2021 21:55,6/17/2021 21:55,Estimated Active Channel,2,0.71849998,Large,0,9.531863213,-1,2.267303467
69,18090103,1,,1,,6/17/2021 21:55,6/17/2021 21:55,Estimated Active Channel,2,0.71849998,Large,0,9.531863213,-1,2.730516911
70,18090103,1,,1,,6/17/2021 21:55,6/17/2021 21:55,Estimated Active Channel,2,2.1068,Large,0,0,-1,4.556493759
71,18090103,10,,1,,6/17/2021 21:55,6/17/2021 21:55,Upland (non-valley bottom),2,2.1068,Large,21.21018982,72.59250641,-1,7.780160427
72,18090103,10,,1,,6/17/2021 21:55,6/17/2021 21:55,Upland (non-valley bottom),2,2.1068,Large,15.37133408,76.2549057,6.389475822,12.01187229
73,18090103,10,,1,,6/17/2021 21:55,6/17/2021 21:55,Upland (non-valley bottom),2,2.1068,Large,11.87124729,48.60315704,6.094927788,9.941721916
74,18090103,10,,1,,6/17/2021 21:55,6/17/2021 21:55,Upland (non-valley bottom),2,0.81799997,Large,16.0998764,129.6473541,-1,6.421280384
75,18090103,10,,1,,6/17/2021 21:55,6/17/2021 21:55,Upland (non-valley bottom),1,0.4526,Large,0,67.40045166,-1,0
76,18090103,1,,1,,6/17/2021 21:55,6/17/2021 21:55,Estimated Active Channel,2,1.0144,Large,0,9.531863213,-1,3.566805124
77,18090103,4,,1,,6/17/2021 21:55,6/17/2021 21:55,Possible Active Floodplain,2,1.0144,Large,0,26.96018028,-1,3.844880342
78,18030002,2,,1,,6/17/2021 21:55,6/17/2021 21:55,Highly Likely Active Floodplain,3,2.27779998,Large,0,9.950611115,11.17892361,1.875742555
79,18030002,1,,1,,6/17/2021 21:55,6/17/2021 21:55,Estimated Active Channel,4,4.51269999,Large,0,9.950611115,6.186348915,7.565762997
80,18030002,1,,1,,6/17/2021 21:55,6/17/2021 21:55,Estimated Active Channel,4,4.70589999,Large,0,0,17.10062981,0.781486988
81,18030002,10,,1,,6/17/2021 21:55,6/17/2021 21:55,Upland (non-valley bottom),4,4.51269999,Large,11.30358696,49.75305557,4.086863041,11.57643604
82,18030002,10,,1,,6/17/2021 21:55,6/17/2021 21:55,Upland (non-valley bottom),1,0.11029999,Large,0,44.50048447,7.34097147,0
83,18030002,2,,1,,6/17/2021 22:01,6/17/2021 22:01,Highly Likely Active Floodplain,2,0.15790001,Large,0,22.25024223,10.1137104,2.535602093
84,18030002,2,,1,,6/17/2021 22:01,6/17/2021 22:01,Highly Likely Active Floodplain,4,4.51269999,Large,0,0,9.776806831,3.44010067
85,18030002,2,,1,,6/17/2021 22:01,6/17/2021 22:01,Highly Likely Active Floodplain,3,2.27779998,Large,0,0,9.86961937,1.302054524
86,18030002,2,,1,,6/17/2021 22:01,6/17/2021 22:01,Highly Likely Active Floodplain,2,0.17870002,Large,0,9.950611115,12.6742115,1.344132781
87,18030002,4,,1,,6/17/2021 22:01,6/17/2021 22:01,Possible Active Floodplain,3,1.75819999,Large,0,44.50048447,9.081250191,0.966230571
88,18030002,4,,1,,6/17/2021 22:01,6/17/2021 22:01,Possible Active Floodplain,3,4.06869994,Large,0,28.14457512,10.28091145,1.391378045
89,18030002,1,,1,,6/17/2021 22:01,6/17/2021 22:01,Estimated Active Channel,4,4.51269999,Large,0,0,17.0257473,2.509301662
90,18030002,10,,1,,6/17/2021 22:01,6/17/2021 22:01,Upland (non-valley bottom),4,5.0259,Large,0.738805175,19.90122223,7.34668684,4.609491825
91,18030002,10,,1,,6/17/2021 22:01,6/17/2021 22:01,Upland (non-valley bottom),4,5.0259,Large,2.22384429,19.90122223,4.530359745,13.42778111
92,18030002,1,,1,,6/17/2021 22:01,6/17/2021 22:01,Estimated Active Channel,4,5.0259,Large,0,9.950611115,8.207209587,2.141508818
93,18030002,3,,1,,6/17/2021 22:01,6/17/2021 22:01,Likely Active Floodplain,4,5.0259,Large,0,0,18.43721199,0.186739787
94,18030002,3,,1,,6/17/2021 22:01,6/17/2021 22:01,Likely Active Floodplain,4,5.0259,Large,0,0,9.293112755,1.507458329
95,18030002,2,,1,,6/17/2021 22:01,6/17/2021 22:01,Highly Likely Active Floodplain,4,28.82439994,Large,0,0,11.6135807,1.04873991
96,18030002,1,,1,,6/17/2021 22:01,6/17/2021 22:01,Estimated Active Channel,4,28.82439994,Large,0,9.950611115,9.560659409,1.044172406
97,18030002,1,,1,,6/17/2021 22:01,6/17/2021 22:01,Estimated Active Channel,4,28.82439994,Large,0,0,10.08730602,0.874519289
98,18030002,8,,1,,6/17/2021 22:01,6/17/2021 22:01,Very Unlikely Valley Bottom Extent,4,28.82439994,Large,1.257169485,39.80244446,9.245910645,2.008675575
99,18030002,8,,1,,6/17/2021 22:01,6/17/2021 22:01,Very Unlikely Valley Bottom Extent,4,28.82439994,Large,2.54030776,35.87743759,7.74553442,5.254945278
100,18030002,8,,1,,6/17/2021 22:01,6/17/2021 22:01,Very Unlikely Valley Bottom Extent,4,28.82439994,Large,1.439442277,39.80244446,9.0335989,2.649090767
101,18030002,8,,1,,6/17/2021 22:01,6/17/2021 22:01,Very Unlikely Valley Bottom Extent,4,5.0259,Large,0.299775749,9.950611115,6.875658989,6.029871941
102,18030002,8,,1,,6/17/2021 22:01,6/17/2021 22:01,Very Unlikely Valley Bottom Extent,4,5.0259,Large,0.892096639,19.90122223,6.676861286,3.668032885
103,18030002,10,,1,,6/17/2021 22:01,6/17/2021 22:01,Upland (non-valley bottom),4,28.82439994,Large,16.99987984,163.2021637,7.444405079,7.187508106
104,18030002,8,,1,,6/17/2021 22:01,6/17/2021 22:01,Very Unlikely Valley Bottom Extent,4,28.82439994,Large,4.461547375,80.22438812,5.990566254,2.206846714
105,18030002,8,,1,,6/17/2021 22:01,6/17/2021 22:01,Very Unlikely Valley Bottom Extent,4,28.82439994,Large,15.3351984,141.4247437,5.840915203,3.256830931
106,18030002,10,,1,,6/17/2021 22:01,6/17/2021 22:01,Upland (non-valley bottom),4,28.82439994,Large,15.91439629,151.5632019,7.123078823,0.867008924
107,18030002,2,,1,,6/17/2021 22:12,6/17/2021 22:12,Highly Likely Active Floodplain,3,23.06089997,Large,0,49.75305557,8.84504509,1.639433861
108,18030002,2,,1,,6/17/2021 22:12,6/17/2021 22:12,Highly Likely Active Floodplain,3,23.06089997,Large,0,50.73835754,8.478001595,2.1002388
109,18030002,4,,1,,6/17/2021 22:12,6/17/2021 22:12,Possible Active Floodplain,3,23.06089997,Large,0,14.07228756,8.109238625,2.163065195
110,18030002,5,,1,,6/17/2021 22:12,6/17/2021 22:12,Possible Inactive Floodplain,3,23.06089997,Large,0,56.28915024,8.947058678,1.810281634
111,18030002,1,,1,,6/17/2021 22:12,6/17/2021 22:12,Estimated Active Channel,1,0.49669999,Large,0,0,13.43675613,0
112,18030002,2,,1,,6/17/2021 22:12,6/17/2021 22:12,Highly Likely Active Floodplain,1,0.49669999,Large,0,9.950611115,9.326100349,0
113,18030002,1,,1,,6/17/2021 22:17,6/17/2021 22:17,Estimated Active Channel,3,9.8482,Large,0,9.950611115,11.26111889,1.180735111
114,18030002,2,,1,,6/17/2021 22:17,6/17/2021 22:17,Highly Likely Active Floodplain,3,9.8482,Large,0,0,7.427243233,1.34353745
115,18030002,10,,1,,6/17/2021 22:17,6/17/2021 22:17,Upland (non-valley bottom),3,23.06089997,Large,28.91256905,229.7276917,6.399486065,0.511407912
116,18030002,10,,1,,6/17/2021 22:17,6/17/2021 22:17,Upland (non-valley bottom),1,0.508,Large,0,207.7748566,7.015058041,0
117,18030002,10,,1,,6/17/2021 22:17,6/17/2021 22:17,Upland (non-valley bottom),4,28.82439994,Large,60.85211182,267.9283752,5.380908012,14.59078026
118,18030002,10,,1,,6/17/2021 22:17,6/17/2021 22:17,Upland (non-valley bottom),3,17.60169997,Large,88.37738037,342.3935547,6.626715183,17.42470741
119,18030002,8,,1,,6/17/2021 22:17,6/17/2021 22:17,Very Unlikely Valley Bottom Extent,3,18.41239997,Large,4.498618126,133.8717804,8.952586174,4.917920589
120,18030002,5,,1,,6/17/2021 22:17,6/17/2021 22:17,Possible Inactive Floodplain,3,13.20350002,Large,0,49.75305557,6.482089043,2.068823338
121,18030002,5,,1,,6/17/2021 22:17,6/17/2021 22:17,Possible Inactive Floodplain,3,13.20350002,Large,0,59.70366669,-1,0
122,18030002,5,,1,,6/17/2021 22:17,6/17/2021 22:17,Possible Inactive Floodplain,3,9.8482,Large,0,75.78160095,8.692511559,2.254339695
123,18030002,1,0.9,1,,6/19/2021 22:48,6/19/2021 22:48,Estimated Active Channel,3,15.01920001,Large,0,0,8.747454643,0.691443622
124,18030002,10,1,1,,6/19/2021 22:48,6/19/2021 22:48,Upland (non-valley bottom),3,14.43530003,Large,6.58203125,170.3270264,8.097636223,3.609604359
125,18030002,1,,1,,6/19/2021 23:02,6/19/2021 23:02,Estimated Active Channel,3,8.87849999,Large,0,0,8.462692261,2.424474716
126,18030002,2,,1,,6/19/2021 23:02,6/19/2021 23:02,Highly Likely Active Floodplain,3,8.87849999,Large,0,0,8.931426048,1.951734543
127,18030002,2,,1,,6/19/2021 23:02,6/19/2021 23:02,Highly Likely Active Floodplain,3,8.87849999,Large,0,9.950611115,-1,0.977360964
128,18030002,2,,1,,6/19/2021 23:02,6/19/2021 23:02,Highly Likely Active Floodplain,3,8.87849999,Large,0,0,8.274700165,1.760290027
129,18030002,1,,1,,6/19/2021 23:02,6/19/2021 23:02,Estimated Active Channel,3,8.87849999,Large,0,9.950611115,8.571568489,1.535697579
130,18030002,5,,1,,6/19/2021 23:02,6/19/2021 23:02,Possible Inactive Floodplain,3,8.87849999,Large,0,71.75487518,-1,1.004983425
131,18030002,5,,1,,6/19/2021 23:02,6/19/2021 23:02,Possible Inactive Floodplain,3,8.87849999,Large,0,39.80244446,8.122281075,1.953112841
132,18030002,4,,1,,6/19/2021 23:02,6/19/2021 23:02,Possible Active Floodplain,3,8.87849999,Large,0,50.73835754,-1,0.737659037
133,18030002,5,,1,,6/19/2021 23:02,6/19/2021 23:02,Possible Inactive Floodplain,3,8.87849999,Large,0,39.80244446,-1,0.94916296
134,18030002,1,,1,,6/19/2021 23:02,6/19/2021 23:02,Estimated Active Channel,3,8.87849999,Large,0,0,-1,1.034343481
135,18030002,8,,1,,6/19/2021 23:02,6/19/2021 23:02,Very Unlikely Valley Bottom Extent,3,8.87849999,Large,0.957261205,19.90122223,8.205407143,2.2722857
136,18030002,8,,1,,6/19/2021 23:02,6/19/2021 23:02,Very Unlikely Valley Bottom Extent,3,8.87849999,Large,0.993086159,28.14457512,8.516635895,2.061461926
137,18030002,10,,1,,6/19/2021 23:02,6/19/2021 23:02,Upland (non-valley bottom),3,8.87849999,Large,8.086863518,91.74009705,6.270059109,6.887878895
138,18030002,10,,1,,6/19/2021 23:02,6/19/2021 23:02,Upland (non-valley bottom),1,0.12529999,Large,0,133.8717804,5.481509209,0
139,18030002,1,,1,,6/19/2021 23:02,6/19/2021 23:02,Estimated Active Channel,1,0.4665,Large,0,0,7.750504971,0
140,18030002,5,,1,,6/19/2021 23:02,6/19/2021 23:02,Possible Inactive Floodplain,1,0.12529999,Large,0,0,6.904146194,0
141,18030002,8,,1,,6/19/2021 23:02,6/19/2021 23:02,Very Unlikely Valley Bottom Extent,1,0.12529999,Large,0,79.60488892,10.04339981,0
142,18030002,10,,1,,6/19/2021 23:02,6/19/2021 23:02,Upland (non-valley bottom),1,0.12529999,Large,0,98.00215149,6.000602722,0
143,18030002,1,,1,,6/19/2021 23:02,6/19/2021 23:02,Estimated Active Channel,2,0.68850001,Large,0,9.950611115,7.271258354,4.408913136
144,18030002,2,,1,,6/19/2021 23:02,6/19/2021 23:02,Highly Likely Active Floodplain,2,0.38890001,Large,0,9.950611115,-1,2.991361856
145,18030002,1,,1,,6/19/2021 23:10,6/19/2021 23:10,Estimated Active Channel,3,8.05829997,Large,0,9.950611115,7.767333984,2.717615366
146,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,3,8.05829997,Large,0,9.950611115,8.156882286,2.19889617
147,18030002,3,,1,,6/19/2021 23:10,6/19/2021 23:10,Likely Active Floodplain,3,6.19909997,Large,0,22.25024223,7.769773483,1.403618455
148,18030002,4,,1,,6/19/2021 23:10,6/19/2021 23:10,Possible Active Floodplain,3,8.05829997,Large,0,31.4665947,7.652823925,1.947773457
149,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,3,6.19909997,Large,0,0,-1,1.463979602
150,18030002,3,,1,,6/19/2021 23:10,6/19/2021 23:10,Likely Active Floodplain,3,8.63539997,Large,0,9.950611115,-1,1.635326624
151,18030002,1,,1,,6/19/2021 23:10,6/19/2021 23:10,Estimated Active Channel,3,6.19909997,Large,0,0,-1,1.842349887
152,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,3,6.19909997,Large,0,9.950611115,8.411036491,2.042806625
153,18030002,5,,1,,6/19/2021 23:10,6/19/2021 23:10,Possible Inactive Floodplain,3,6.19909997,Large,0,41.02742004,6.929235458,3.942563772
154,18030002,5,,1,,6/19/2021 23:10,6/19/2021 23:10,Possible Inactive Floodplain,2,0.3858,Large,0,62.93318939,6.869485378,3.49048233
155,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,3,6.19909997,Large,0,9.950611115,6.587979317,5.751536846
156,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,1,0.24839999,Large,0,0,6.650525093,0
157,18030002,1,,1,,6/19/2021 23:10,6/19/2021 23:10,Estimated Active Channel,2,0.3858,Large,0,0,13.92737103,1.861935496
158,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,2,0.3858,Large,0,0,8.399724007,3.333176136
159,18030002,8,,1,,6/19/2021 23:10,6/19/2021 23:10,Very Unlikely Valley Bottom Extent,2,0.3858,Large,2.70319438,31.4665947,7.503572464,4.507918835
160,18030002,8,,1,,6/19/2021 23:10,6/19/2021 23:10,Very Unlikely Valley Bottom Extent,2,0.3858,Large,3.612546206,53.58568192,7.637878418,2.603122473
161,18030002,8,,1,,6/19/2021 23:10,6/19/2021 23:10,Very Unlikely Valley Bottom Extent,2,0.3858,Large,2.510832071,44.50048447,7.900324821,3.39817977
162,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,1,0.09,Large,0,0,11.68866062,0
163,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,1,0.16699998,Large,0,0,12.60764694,0
164,18030002,1,,1,,6/19/2021 23:10,6/19/2021 23:10,Estimated Active Channel,3,5.12579998,Large,0,0,-1,4.001790524
165,18030002,3,,1,,6/19/2021 23:10,6/19/2021 23:10,Likely Active Floodplain,1,0.71249999,Large,0,0,14.5444231,0
166,18030002,1,,1,,6/19/2021 23:10,6/19/2021 23:10,Estimated Active Channel,1,0.74009999,Large,0,0,-1,0.000339562
167,18030002,3,,1,,6/19/2021 23:10,6/19/2021 23:10,Likely Active Floodplain,1,0.74009999,Large,0,0,-1,0.000875031
168,18030002,2,,1,,6/19/2021 23:10,6/19/2021 23:10,Highly Likely Active Floodplain,1,0.71200001,Large,0,49.75305557,8.316643715,0.001358247
169,18030002,4,,1,,6/19/2021 23:10,6/19/2021 23:10,Possible Active Floodplain,1,0.71200001,Large,0,9.950611115,10.78678989,0.007090067
170,18030002,4,,1,,6/19/2021 23:10,6/19/2021 23:10,Possible Active Floodplain,1,0.74009999,Large,0,9.950611115,-1,0.035859656
171,18030002,1,,1,,6/22/2021 15:11,6/22/2021 15:11,Estimated Active Channel,2,3.98919997,Large,0,0,-1,1.290571213
172,18030002,2,,1,,6/22/2021 15:11,6/22/2021 15:11,Highly Likely Active Floodplain,2,3.98919997,Large,0,0,7.10597229,1.545243144
173,18030002,5,,1,,6/22/2021 15:11,6/22/2021 15:11,Possible Inactive Floodplain,2,3.98919997,Large,0,35.87743759,6.26761055,1.337265849
174,18030002,5,,1,,6/22/2021 15:11,6/22/2021 15:11,Possible Inactive Floodplain,2,3.98919997,Large,0,9.950611115,7.779225349,1.88396883
175,18030002,2,,1,,6/22/2021 15:11,6/22/2021 15:11,Highly Likely Active Floodplain,2,1.49279999,Large,0,0,-1,0.988419592
176,18030002,4,,1,,6/22/2021 15:11,6/22/2021 15:11,Possible Active Floodplain,2,3.98919997,Large,0,72.44154358,7.678261757,2.836148739
177,18030002,1,,1,,6/22/2021 15:11,6/22/2021 15:11,Estimated Active Channel,3,6.02129996,Large,0,0,7.699394226,7.176546097
178,18030002,1,,1,,6/22/2021 15:11,6/22/2021 15:11,Estimated Active Channel,3,6.02129996,Large,0,14.07228756,7.770328045,5.810604095
179,18030002,2,,1,,6/22/2021 15:11,6/22/2021 15:11,Highly Likely Active Floodplain,2,1.68470003,Large,0,0,-1,4.292163849
180,18030002,1,,1,,6/22/2021 15:11,6/22/2021 15:11,Estimated Active Channel,3,7.9399,Large,0,0,7.347549915,2.745662212
181,18030002,2,,1,,6/22/2021 15:11,6/22/2021 15:11,Highly Likely Active Floodplain,3,7.9399,Large,0,9.950611115,7.228143215,2.940442085
182,18030002,10,,1,,6/22/2021 15:11,6/22/2021 15:11,Upland (non-valley bottom),3,7.9399,Large,16.22381401,93.87387085,7.055096626,11.01922035
183,18030002,10,,1,,6/22/2021 15:11,6/22/2021 15:11,Upland (non-valley bottom),3,7.9399,Large,10.60108948,102.4478149,5.827728271,11.36036682
184,18030002,10,,1,,6/22/2021 15:11,6/22/2021 15:11,Upland (non-valley bottom),3,6.02129996,Large,33.17926025,188.7995605,5.035164356,12.47052288
185,18030002,10,,1,,6/22/2021 15:11,6/22/2021 15:11,Upland (non-valley bottom),3,6.02129996,Large,33.33894348,164.1096802,4.859143257,9.516152382
186,18030002,1,,1,,6/22/2021 15:11,6/22/2021 15:11,Estimated Active Channel,3,10.23569996,Large,0,0,9.249412537,2.115970373
187,18030002,1,,1,,6/22/2021 15:11,6/22/2021 15:11,Estimated Active Channel,3,12.89649996,Large,0,0,7.716430664,3.924925327
188,18030002,2,,1,,6/22/2021 15:11,6/22/2021 15:11,Highly Likely Active Floodplain,3,10.23569996,Large,0,9.950611115,-1,0.852089763
